Results_ID,Result_group,Age_general,Age_min,Age_max,Age_original,Population_gender,Indigenous_status,Indigenous_population,Country,Jurisdiction,Specific_location,Year_start,Year_stop,Observation_time_years,Numerator,Denominator,Point_estimate,Measure,Interpolated_from_graph,Age_standardisation,Dataset_name,Proportion,Mortality_flag,Recurrent_ARF_flag,GAS_attributable_fraction,Defined_ARF,Focus_of_study,Notes
2017ABDA,Superficial Skin and Throat,Children,10,14,Children (10-14y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,21.6,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,22.1,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,26.9,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,10,15,Children (10-15y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,32.7,Sore throat incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Midwest-Murchison,1996,2012,17,N/A,N/A,33.7,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017COMI,Superficial Skin and Throat,Children,3.5,5,Children (3.5-5y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Wheatbelt,1996,2012,17,N/A,N/A,36.9,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,10,15,Children (10-15y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,38.1,Sore throat incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,40,Sore throat incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,0,16,Children (<16y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Goldfields,1996,2012,17,N/A,N/A,44.5,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,46.6,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,0,16,Children (<16y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,53.7,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,54.1,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,59.6,Sore throat incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Midwest-Murchison,1996,2012,17,N/A,N/A,73.6,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,129.8,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,0,16,Children (<16y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Goldfields,1996,2012,17,N/A,N/A,131.8,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Northern Territory,Central Australian community,2004,2005,1,N/A,N/A,3.7%,GAS carriage rate among study participants,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,10,14,Children (10-14y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015GEAR,Invasive GAS,Children,0,5,Children (<5y),Indigenous,Yes ,Aboriginal,Australia,Northern Terrirtory,Royal Darwin hospital & three hospital laboratories,1998,2009,12,N/A,N/A,45,"iGAS incidence per 100,000 (Indigenous, <5yo)",1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Invasive GAS,Children,10,15,Children (10-15y),Indigenous,Yes,Aboriginal,Australia,Western Australia,WA,1996,2012,17,N/A,N/A,5.5,hospital admissions for cellulitis per 1000 Aboriginal child-years,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Invasive GAS,Children,5,9,Children (5-9y),Indigenous,Yes,Aboriginal,Australia,Western Australia,WA,1996,2012,17,N/A,N/A,6.3,hospital admissions for cellulitis per 1000 Aboriginal child-years,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Invasive GAS,Children,0,1,Children (1-4y),Indigenous,Yes,Aboriginal,Australia,Western Australia,WA,1996,2012,17,N/A,N/A,9.8,hospital admissions for cellulitis per 1000 Aboriginal child-years,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2010WHIT,Invasive GAS,Children,0,18,Children & adolescents,Indigenous,Yes,Aboriginal,Australia,Queensland,Qld,2007,2007,1,N/A,N/A,9.9,"iGAS incidence per 100,000 (Indigenous, 2007)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Invasive GAS,Children,0,1,Children (<1y),Indigenous,Yes,Aboriginal,Australia,Western Australia,WA,1996,2012,17,N/A,N/A,13.1,hospital admissions for cellulitis per 1000 Aboriginal child-years,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2010WHIT,Invasive GAS,Children,0,18,Children & adolescents,Indigenous,Yes,Aboriginal,Australia,Queensland,Qld,2008,2008,1,N/A,N/A,13.2,"iGAS incidence per 100,000 (Indigenous, 2008)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2016BOYD,Invasive GAS,Children,0,18,Children,Indigenous,Yes,Aboriginal,Australia,Northern Terrirtory,NT,2011,2013,2,N/A,N/A,68.2,"incidence per 100,000",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,0.0833333333333333,Children (<1mo),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,0.2,Proportion of child sore throats which are GAS+,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.5,0.916666666666667,Children (6-11mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,1.3,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,1.4,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,0.416666666666667,Children (1-5mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,1.5,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,2.2,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,0.0833333333333333,Children (<1mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,2.5,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,2.9,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,3.1,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,0.0833333333333333,Children (<1mo),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,3.3,Serologically confirmed GAS pharyngitis incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.5,0.916666666666667,Children (6-11mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,3.4,skin infection hospital admissions per 1000 non-Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013KEAR,Superficial Skin and Throat,Infant,0,1,Infants (<1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,4.7,GAS pharyngitis incidence per 100 person-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,1,Children (1mo-1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,8,Serologically confirmed GAS+ sore throat incidence per 100 child-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013KEAR,Superficial Skin and Throat,Infant,0,1,Infants (<1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,14,Acute sore throat incidence per 100 adult-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,1,Children (1mo-1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,15,Serologically confirmed GAS+ sore throat incidence per 100 family-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,17.9,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,0.0833333333333333,Children (<1mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,23.2,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Midwest-Murchison,1996,2012,17,N/A,N/A,31.1,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013KEAR,Superficial Skin and Throat,Infant,0,1,Infants (<1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,33,Acute sore throat incidence per 100 child-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,0.416666666666667,Children (1-5mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,37.3,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,0.0833333333333333,Children (<1mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Metropolitan areas, WA",1996,2012,17,N/A,N/A,46.2,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,Pilbara,1996,2012,17,N/A,N/A,46.9,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.5,0.916666666666667,Children (6-11mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,50.5,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013KEAR,Superficial Skin and Throat,Infant,0,1,Infants (<1y),Indigenous,Yes,Aboriginal,Australia,Victoria,"Melbourne - Deer Park, Essendon North, Nepean",2001,2002,3,N/A,N/A,60,Acute sore throat incidence per 100 family-years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,0.416666666666667,Children (1-5mo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,125.8,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Indigenous,Yes,Aboriginal,Australia,Western Australia,"Remote areas, WA",1996,2012,17,N/A,N/A,133.6,skin infection hospital admissions per 1000 Aboriginal childre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1y),Indigenous,Yes,Aboriginal,Australia,Northern Territory,Central Australian community,2004,2005,1,N/A,N/A,48,sore throat episodes per 100 person-years (all ages),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013GRAY,ARF,Adult,25,34,Adults,Males,Indigenous,Aboriginal ,Australia,NT,NT,2007,2010,3,N/A,N/A,10,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2022AIHW,ARF,Adult,45,64,Middle age Adults,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,0.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,35,44,Young adults ,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,0.9,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,25,34,Young adults ,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,65,999,Elderly adults only,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,2.6,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,15,24,Adolescents &Young adults ,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,4.1,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,45,64,Middle age Adults,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,5.5,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,35,44,Young adults ,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,23.8,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,25,34,Young adults ,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,41.3,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Adult,15,24,Adolescents &Young adults ,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,56.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2013GRAY,ARF,All,5,34,All,Males,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,70,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2021AIHWARF,ARF,All,0,999,All,Males,General,N/A,Australia,"NT, QLD, WA, SA",N/A,2019,2019,1,N/A,N/A,2.8,ARF recurrence rate after BPG per 100- patient years,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A
2022AIHW,ARF,All,0,999,All,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,0.1,"crude-age specific death rates (ARF only and no RHD) per 100,000 population ",N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A
2022AIHW,ARF,All,0,999,All,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,3.2,"crude-age specific death rates (ARF only and no RHD) per 100,000 population ",N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A
2004AIHW,ARF,All,0,999,All,Males,Non Indigenous,Torres Straight Islander,Australia,"NT, QLD, SA, WA","NT, Queensland, SA and WA",2000,2002,2,N/A,N/A,1,Standardised mortality ratio (SMR) of ARF/RHD,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A
2004AIHW,ARF,All,0,999,All,Males,Indigenous,Aboriginal/TSI,Australia,"NT, QLD, SA, WA","NT, Queensland, SA and WA",2000,2002,2,N/A,N/A,16.6,Standardised mortality ratio (SMR) of ARF/RHD,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A
2021AIHWARF,ARF,All,0,999,All,Males,Indigenous,Aboriginal/TSI,Australia,N/A,N/A,2015,2019,4,N/A,N/A,86,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,2.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,52.8,"incidence rate of definite/probable ARF per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,All,0,999,All,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,57,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2013LAWR,ARF,Children,5,14,Children,Males,Indigenous,Torres Straight Islander,Australia,NT,NT,1997,2010,13,N/A,N/A,162,"incidence rate of first ARF per 100,000 estimated resident population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2013GRAY,ARF,Children,5,14,Children,Males,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,180,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2022AIHW,ARF,Children,0,4,Children,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,2.2,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,5,14,Children & adolescents,Males,General,Torres Straight Islander,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,11.7,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,0,4,Children ,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,25.9,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2022AIHW,ARF,Children,5,14,Children & adolescents,Males,Indigenous,Aboriginal/TSI,Australia,"NT,WA,QLD,NSW,SA",N/A,2016,2020,5,N/A,N/A,146.3,"incidence rate per 100,000 population",N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
2013GRAY,ARF,Adult,15,24,Adolescents & adults,Males ,Indigenous,Aboriginal,Australia,NT,NT,2007,2010,3,N/A,N/A,80,"incidence rate per 100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,35,44,Adults ,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.2,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,25,34,Adults,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.3,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,25,34,Adults,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.3,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,35,44,Adults ,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.3,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,15,24,Adolescents and adults,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.6,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,15,24,Adolescents and adults,Males and Females,Non Indigenous,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.7,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,35,44,Adults ,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,0.9,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,35,44,Adults ,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,1.4,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,25,34,Adults,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,1.6,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,25,34,Adults,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,2.8,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,15,24,Adolescents and adults,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,3.6,"incidence rate of first ever ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
2020KATZ,ARF,Adult,15,24,Adolescents and adults,Males and Females,General,Torres Straight Islander,Australia,"NSW, NT, QLD, SA, WA",N/A,2015,2017,3,N/A,N/A,5.4,"incidence rate of total ARF episodes per  100,000 population ",N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A
